source,title,description,url,image_url,published_at,tags
Sky News Arabic,"ترامب: الفلسطينيون ""ليس لديهم بديل"" سوى مغادرة غزة","تحدث الرئيس الأميركي دونالد ترامب مجددا عن رغبته في أن تستقبل مصر والأردن سكانا من غزة، قائلا إن الفلسطينيين ""ليس لديهم بديل سوى مغادرة القطاع"".",https://www.skynewsarabia.com/middle-east/1774660,/v1/2025/02/05/1774659/800/450/1-1774659.jpg,2025-02-04T20:27:42Z,['أخبار إسرائيل']
Sky News Arabic,"خطة ترامب تسحب الاهتمام من ""هدنة غزة"" وتهدد باستئناف الحرب",توارى الحديث عما تبقى من مراحل صفقة التبادل بين إسرائيل وحركة حماس، وبات التركيز منصبا على طرح الرئيس الأميركي دونالد ترامب بتهجير الفلسطينيين خارج أرضهم، والاستيلاء على قطاع غزة، وتداعيات هذا الطرح، وكأن ترامب أطلق رصاصة الرحمة على أي آمال في صمود الاتفاق.,https://www.skynewsarabia.com/middle-east/1775367,/v1/2025/02/07/1775366/800/450/1-1775366.jpg,2025-02-07T11:05:40Z,['أخبار إسرائيل']
Sky News Arabic,ترامب وإيران.. وصراع يلوح بالأفق,في هذه الحلقة من بين العواجل أستاذ العلوم السياسية في جامعة قم الدكتور أحمد مهدي تحاوره فضيلة سويسي يقول :إن ترامب لا يستحي ولا يخجل أمام مصلحة بلاده.,https://www.skynewsarabia.com/podcast/betweenbreaking/1774752-ترامب-وإيران-وصراع-يلوح-بالأفق,/v1/2024/10/09/1747094/800/450/1-1747094.jpg,2025-02-05T06:08:18Z,['أخبار أميركا']
Sky News Arabic,كاتس: لن نسمح بأن يتحدث ضباط الجيش الإسرائيلي ضد مقترح ترامب,أمر وزير الدفاع الإسرائيلي يسرائيل كاتس، اليوم الجمعة، رئيس الأركان هرتسي هليفي بتوبيخ رئيس شعبة الاستخبارات العسكرية شلومي بندر وذلك على خلفية تصريحات منسوبة للأخير ينتقد فيها مقرحات الرئيس الاميركي دونالد ترامب حول قطاع غزة.,https://www.skynewsarabia.com/middle-east/1775344,/v1/2025/02/07/1775274/800/450/1-1775274.jpeg,2025-02-07T09:08:33Z,['أخبار فلسطين']
Sky News Arabic,رسوم ترامب على الصين تخلط أوراق الاقتصاد العالمي,الرسوم الجمركية التي فرضها الرئيس الأميركي دونالد ترامب على الصين لم تكن مجرد إجراء اقتصادي، بل شرارة أشعلت جدلاً واسعاً في أروقة الاقتصاد العالمي.,https://www.snabusiness.com/video/1775330,/v1/2023/09/22/1655386/800/450/1-1655386.jpg,2025-02-07T09:21:28Z,['اقتصاد عالمي']
Sky News Arabic,"السلام من خلال القوة.. هل تنجح ""عقيدة ترامب""؟",السلام من خلال القوة، تلك العقيدة التي أطلقها الرئيس الأميركي دونالد ترامب، أصبحت محور النقاشات الإقليمية والعالمية حول الصراع في الشرق الأوسط. من وقف إطلاق النار في غزة إلى التعامل مع الملف النووي الإيراني، تركز الأنظار على اللقاء المرتقب بين ترامب ورئيس الوزراء الإسرائيلي بنيامين نتنياهو.,https://www.skynewsarabia.com/middle-east/1774595,/v1/2025/02/04/1774524/800/450/1-1774524.jpg,2025-02-04T17:15:34Z,['أخبار إسرائيل']
Sky News Arabic,ترامب يصعد تحركاته تجاه غزة.. هل نشهد سيناريو جديدا؟,تتوالى المفاجآت بشأن مقترح التهجير الذي طرحه الرئيس الأميركي السابق دونالد ترامب، والذي يقضي بتسلم الولايات المتحدة إدارة قطاع غزة بعد انتهاء الحرب.,https://www.skynewsarabia.com/middle-east/1775260,/v1/2025/02/07/1775250/800/450/1-1775250.jpeg,2025-02-07T04:35:19Z,['أخبار إسرائيل']
Sky News Arabic,خطة ترامب للسلام في أوكرانيا.. هل تقبل روسيا بشروط أميركية؟,"مع استمرار الحرب في أوكرانيا لأكثر من عامين، تتزايد المؤشرات حول إمكانية إنهاء الصراع عبر ""السلام من خلال القوة""، وهي الخطة التي تنوي إدارة الرئيس الأميركي دونالد ترامب طرحها في مؤتمر ميونيخ للأمن بألمانيا.",https://www.skynewsarabia.com/world/1775300,/v1/2025/02/07/1775267/800/450/1-1775267.jpeg,2025-02-07T06:23:14Z,['أخبار أميركا']
Sky News Arabic,روبيو يزور الشرق الأوسط بعد اقتراح ترامب بالسيطرة على غزة,قال مسؤول بوزارة الخارجية الأميركية إن الوزير ماركو روبيو سيزور إسرائيل ودولا عربية في منتصف فبراير الجاري، في أول زيارة له للشرق الأوسط بعد الكشف عن مقترح الرئيس دونالد ترامب بنقل الفلسطينيين خارج غزة والذي قوبل بتنديد واسع النطاق.,https://www.skynewsarabia.com/middle-east/1775292,/v1/2025/02/05/1774717/800/450/1-1774717.jpg,2025-02-07T05:37:17Z,['شرق أوسط']
Sky News Arabic,ترامب وغزة.. المفاجآت تتوالى بشأن طرح التهجير,"ترامب وغزة.. المفاجآتُ تتوالى بشأن طرح التهجير. الرئيس الأميركي يؤكد عزمَ واشنطن تسلمَ قطاع غزة من إسرائيل بعد انتهاء الحرب. نتنياهو يقول إن مُقترحَ ترامب هي ""خطةُ اليوم الثاني"" للحرب.",https://www.skynewsarabia.com/video/1775249,/v1/2025/02/07/1775250/800/450/1-1775250.jpeg,2025-02-07T04:26:47Z,['أخبار فلسطين']
Sky News Arabic,بين حسابات نتنياهو وضغوط ترامب.. ما مصير الهدنة؟,يبدو أن مستقبل اتفاق الهدنة في غزة معلق بنتائج اللقاء المرتقب بين رئيس الوزراء الإسرائيلي بنيامين نتنياهو والرئيس الأميركي دونالد ترامب.,https://www.skynewsarabia.com/middle-east/1774591,/v1/2025/02/04/1774586/800/450/1-1774586.jpeg,2025-02-04T11:54:47Z,['أخبار إسرائيل']
Sky News Arabic,بسبب إسرائيل.. ترامب يقر عقوبات على المحكمة الجنائية الدولية,أعلن مسؤول في البيت الأبيض، الخميس، أن الرئيس الأميركي دونالد ترامب وقع أمرا يقضي بفرض عقوبات على المحكمة الجنائية الدولية.,https://www.skynewsarabia.com/world/1775226,/v1/2025/02/07/1775225/800/450/1-1775225.jpg,2025-02-06T22:33:54Z,['أخبار أميركا']
Sky News Arabic,روبيو لمنتقدي اقتراح ترامب بشأن غزة: قدموا حلا بديلا,أعلن وزير الخارجية الأميركي ماركو روبيو، الخميس، أن على الدول التي تنتقد اقتراح الرئيس دونالد ترامب بشأن قطاع غزة، أن تبادر إلى عرض اقتراحات لمساعدة القطاع المحاصر والمدمر.,https://www.skynewsarabia.com/middle-east/1775214,/v1/2025/02/07/1775213/800/450/1-1775213.jpeg,2025-02-06T20:55:59Z,['أخبار أميركا']
Sky News Arabic,هدف ترامب في الشرق الأوسط.. 5 اتفاقيات سلام,عندما يستقبل الرئيس الأميركي دونالد ترامب رئيس الوزراء الإسرائيلي بنيامين نتنياهو في البيت الأبيض، الثلاثاء، ستركز محادثتهما على الشرق الأوسط، وقد تكون نقطة محورية، لتنفيذ خطط ترامب في المنطقة.,https://www.skynewsarabia.com/middle-east/1774485,/v1/2025/02/04/1774482/800/450/1-1774482.jpg,2025-02-04T06:31:25Z,['أخبار أميركا']
Sky News Arabic,نتنياهو يقترح على ترامب تغيير الأولويات.. الهدف إيران,كشفت القناة الـ12 الإسرائيلية أن رئيس الوزراء بنيامين نتنياهو سيقترح على الرئيس الأميركي دونالد ترامب تغيير ترتيب الأولويات في الشرق الأوسط.,https://www.skynewsarabia.com/world/1774505,/v1/2020/01/28/1316358/800/450/1-1316358.jpg,2025-02-04T07:10:42Z,['أخبار إسرائيل']
Sky News Arabic,"ترامب يتحدث عن ""إسرائيل الصغيرة"".. ونتنياهو يمدد زيارته",جدد الرئيس الأميركي دونالد ترامب الحديث عن صغر مساحة دولة إسرائيل، وذلك قبل لقاءه المرتقب الثلاثاء مع رئيس الوزراء الإسرائيلي بنيامين نتنياهو في البيت الأبيض.,https://www.skynewsarabia.com/middle-east/1774450,/v1/2025/02/04/1774444/800/450/1-1774444.jpg,2025-02-04T05:19:18Z,['أخبار أميركا']
Sky News Arabic,"ترامب يكشف سر تغير علاقته بالدين ويدعو ""لتذكر الله""",كشف الرئيس الأميركي دونالد ترامب، الخميس، سر تغير علاقته بالدين وذلك بسبب الأحداث التي مر بها خلال العام الماضي.,https://www.skynewsarabia.com/world/1775132,/v1/2025/02/06/1775131/800/450/1-1775131.JPG,2025-02-06T17:09:27Z,['دونالد ترامب']
Sky News Arabic,الشاطئ السبب.. هكذا وصل ترامب إلى فكرة الاستيلاء على غزة,"يسارع مسؤولو إدارة ترامب إلى مواكبة خطة الرئيس المفاجئة التي تهدف إلى جعل الولايات المتحدة تتولى ملكية غزة لتصبح ""ريفييرا الشرق الأوسط"" حسب وصف ترامب.",https://www.skynewsarabia.com/middle-east/1775096,/v1/2025/02/06/1775095/800/450/1-1775095.jpg,2025-02-06T13:22:33Z,['أخبار أميركا']
Sky News Arabic,بكين تنتقم.. رسوم جمركية جديدة لمواجهة سياسات ترامب,أعلنت وزارة التجارة الصينية، الثلاثاء، فرض رسوم جمركية إضافية على العديد من المنتجات الأميركية، ردا على الرسوم التي قرر الرئيس الأميركي دونالد ترامب فرضها على المنتجات الصينية اعتبارا من اليوم.,https://www.snabusiness.com/article/1774525,/v1/2019/05/11/1251112/800/450/1-1251112.jpg,2025-02-04T07:55:33Z,['أسواق عالمية']
Sky News Arabic,حرب تجارية غير مسبوقة.. ترامب يشعل الصراع الاقتصادي,شنّ الرئيس الأميركي دونالد ترامب حربا تجارية شرسة، لم تستثنِ حليفًا أو خصمًا، لتصل تكلفتها حتى الآن إلى 10 تريليونات دولار.,https://www.snabusiness.com/article/1774460,/v1/2025/02/03/1774218/800/450/1-1774218.JPG,2025-02-04T05:38:05Z,['تجارة']
Sky News Arabic,ترامب يعلن الحرب على جيرانه,ترامب يعلن الحرب على جيرانه,https://www.snabusiness.com/video/1774312,/v2/2025/01/31/1773452/800/450/1-1773452.jpg,2025-02-04T03:40:23Z,['Businessمع لبنى']
Sky News Arabic,خلف الكواليس.. كيف تواجه مصر خطة ترامب في غزة؟,تقود مصر حملة دبلوماسية خلف الكواليس لمعارضة خطة الرئيس الأميركي دونالد ترامب بشأن تهجير سكان غزة، محذرة من أن هذه الخطوة قد تعرض معاهدة السلام مع إسرائيل للخطر، وفقا لمسؤولين مطلعين.,https://www.skynewsarabia.com/middle-east/1775209,/v1/2025/02/07/1775207/800/450/1-1775207.jpg,2025-02-06T20:22:48Z,['أخبار فلسطين']
